train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
all,41409,4095.45,2,3,cv_glmnet,3.02031850631521
all,41409,8190.9,2,3,cv_glmnet,2.8006589785832
all,41409,16381.8,2,3,cv_glmnet,2.69082921471719
all,41409,25027.2,2,3,cv_glmnet,2.8555738605162
all,41409,41409,2,3,cv_glmnet,2.9104887424492
all,41409,4095.45,2,1,cv_glmnet,3.09241280115067
all,41409,8190.9,2,1,cv_glmnet,2.76878820568141
all,41409,16381.8,2,1,cv_glmnet,2.66091334052499
all,41409,25027.2,2,1,cv_glmnet,2.62495505213952
all,41409,41409,2,1,cv_glmnet,2.5170801869831
all,41409,4095.45,2,2,cv_glmnet,3.05645451276519
all,41409,8190.9,2,2,cv_glmnet,2.73282991729594
all,41409,16381.8,2,2,cv_glmnet,2.5170801869831
all,41409,25027.2,2,2,cv_glmnet,2.37324703344121
all,41409,41409,2,2,cv_glmnet,2.33728874505574
all,41409,4095.45,2,3,cv_glmnet,2.84070478245236
all,41409,8190.9,2,3,cv_glmnet,2.73282991729594
all,41409,16381.8,2,3,cv_glmnet,2.37324703344121
all,41409,25027.2,2,3,cv_glmnet,2.33728874505574
all,41409,41409,2,3,cv_glmnet,2.40920532182668
all,41409,4095.45,3,1,cv_glmnet,2.63591433278418
all,41409,8190.9,3,1,cv_glmnet,2.63591433278418
all,41409,16381.8,3,1,cv_glmnet,2.63591433278418
all,41409,25027.2,3,1,cv_glmnet,2.58099945085118
all,41409,41409,3,1,cv_glmnet,2.58099945085118
all,41409,4095.45,3,2,cv_glmnet,3.02031850631521
all,41409,8190.9,3,2,cv_glmnet,2.52608456891818
all,41409,16381.8,3,2,cv_glmnet,2.52608456891818
all,41409,25027.2,3,2,cv_glmnet,2.47116968698517
all,41409,41409,3,2,cv_glmnet,2.52608456891818
all,41409,4095.45,3,3,cv_glmnet,2.58099945085118
all,41409,8190.9,3,3,cv_glmnet,2.69082921471719
all,41409,16381.8,3,3,cv_glmnet,2.47116968698517
all,41409,25027.2,3,3,cv_glmnet,2.52608456891818
all,41409,41409,3,3,cv_glmnet,2.58099945085118
all,41409,4095.45,3,1,cv_glmnet,3.09241280115067
all,41409,8190.9,3,1,cv_glmnet,2.69687162891046
all,41409,16381.8,3,1,cv_glmnet,2.76878820568141
all,41409,25027.2,3,1,cv_glmnet,2.94857964760877
all,41409,41409,3,1,cv_glmnet,2.80474649406688
all,41409,4095.45,3,2,cv_glmnet,3.09241280115067
all,41409,8190.9,3,2,cv_glmnet,2.76878820568141
all,41409,16381.8,3,2,cv_glmnet,2.87666307083783
all,41409,25027.2,3,2,cv_glmnet,2.87666307083783
all,41409,41409,3,2,cv_glmnet,2.73282991729594
all,41409,4095.45,3,3,cv_glmnet,2.73282991729594
all,41409,8190.9,3,3,cv_glmnet,2.69687162891046
all,41409,16381.8,3,3,cv_glmnet,2.84070478245236
all,41409,25027.2,3,3,cv_glmnet,2.87666307083783
all,41409,41409,3,3,cv_glmnet,2.58899676375405
all,41409,4095.45,4,1,cv_glmnet,2.52608456891818
all,41409,8190.9,4,1,cv_glmnet,2.63591433278418
all,41409,16381.8,4,1,cv_glmnet,2.36133992311917
all,41409,25027.2,4,1,cv_glmnet,2.58099945085118
all,41409,41409,4,1,cv_glmnet,2.8555738605162
all,41409,4095.45,4,2,cv_glmnet,2.69082921471719
all,41409,8190.9,4,2,cv_glmnet,2.74574409665019
all,41409,16381.8,4,2,cv_glmnet,2.63591433278418
all,41409,25027.2,4,2,cv_glmnet,2.8006589785832
all,41409,41409,4,2,cv_glmnet,2.8555738605162
all,41409,4095.45,4,3,cv_glmnet,2.69082921471719
all,41409,8190.9,4,3,cv_glmnet,2.69082921471719
all,41409,16381.8,4,3,cv_glmnet,2.63591433278418
all,41409,25027.2,4,3,cv_glmnet,2.9104887424492
all,41409,41409,4,3,cv_glmnet,2.8555738605162
all,41409,4095.45,4,1,cv_glmnet,2.48112189859763
all,41409,8190.9,4,1,cv_glmnet,2.26537216828479
all,41409,16381.8,4,1,cv_glmnet,2.15749730312837
all,41409,25027.2,4,1,cv_glmnet,2.1215390147429
all,41409,41409,4,1,cv_glmnet,2.15749730312837
all,41409,4095.45,4,2,cv_glmnet,2.5170801869831
all,41409,8190.9,4,2,cv_glmnet,2.15749730312837
all,41409,16381.8,4,2,cv_glmnet,2.33728874505574
all,41409,25027.2,4,2,cv_glmnet,2.08558072635743
all,41409,41409,4,2,cv_glmnet,2.15749730312837
all,41409,4095.45,4,3,cv_glmnet,2.19345559151384
all,41409,8190.9,4,3,cv_glmnet,2.19345559151384
all,41409,16381.8,4,3,cv_glmnet,2.19345559151384
all,41409,25027.2,4,3,cv_glmnet,2.15749730312837
all,41409,41409,4,3,cv_glmnet,2.1215390147429
all,41409,4095.45,5,1,cv_glmnet,3.02031850631521
all,41409,8190.9,5,1,cv_glmnet,2.63591433278418
all,41409,16381.8,5,1,cv_glmnet,2.52608456891818
all,41409,25027.2,5,1,cv_glmnet,2.58099945085118
all,41409,41409,5,1,cv_glmnet,2.74574409665019
all,41409,4095.45,5,2,cv_glmnet,2.8006589785832
all,41409,8190.9,5,2,cv_glmnet,2.58099945085118
all,41409,16381.8,5,2,cv_glmnet,2.36133992311917
all,41409,25027.2,5,2,cv_glmnet,2.41625480505217
all,41409,41409,5,2,cv_glmnet,2.52608456891818
all,41409,4095.45,5,3,cv_glmnet,2.52608456891818
all,41409,8190.9,5,3,cv_glmnet,2.36133992311917
all,41409,16381.8,5,3,cv_glmnet,2.47116968698517
all,41409,25027.2,5,3,cv_glmnet,2.52608456891818
all,41409,41409,5,3,cv_glmnet,2.52608456891818
all,41409,4095.45,5,1,cv_glmnet,2.69687162891046
all,41409,8190.9,5,1,cv_glmnet,2.48112189859763
all,41409,16381.8,5,1,cv_glmnet,2.62495505213952
all,41409,25027.2,5,1,cv_glmnet,2.66091334052499
all,41409,41409,5,1,cv_glmnet,2.40920532182668
all,41409,4095.45,5,2,cv_glmnet,2.55303847536857
all,41409,8190.9,5,2,cv_glmnet,2.5170801869831
all,41409,16381.8,5,2,cv_glmnet,2.44516361021215
all,41409,25027.2,5,2,cv_glmnet,2.58899676375405
all,41409,41409,5,2,cv_glmnet,2.40920532182668
all,41409,4095.45,5,3,cv_glmnet,3.09241280115067
all,41409,8190.9,5,3,cv_glmnet,2.48112189859763
all,41409,16381.8,5,3,cv_glmnet,2.58899676375405
all,41409,25027.2,5,3,cv_glmnet,2.5170801869831
all,41409,41409,5,3,cv_glmnet,2.40920532182668
all,41409,4095.45,6,1,cv_glmnet,2.63591433278418
all,41409,8190.9,6,1,cv_glmnet,2.74574409665019
all,41409,16381.8,6,1,cv_glmnet,2.8006589785832
