sas7bdat,nrow,ncol
download-ncsh-data/nsch_2016_topical.sas7bdat,50212,422
download-ncsh-data/nsch_2017_topical.sas7bdat,21599,431
download-ncsh-data/nsch_2018_topical.sas7bdat,30530,442
download-ncsh-data/nsch_2019_topical.sas7bdat,29433,443
download-ncsh-data/nsch_2020_topical.sas7bdat,42777,443
download-ncsh-data/nsch_2021e_topical.sas7bdat,50892,463
download-ncsh-data/nsch_2022e_topical.sas7bdat,54103,490
